,sigma,q,set,ntest,regressor,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
306,0.7,0.2,1,500,rf,0.0,0.0,0.0,0.10154018413999999,0.74841833735,209.39,0.20135300746999998,0.88440725764,278.52,0.011078122196679188,0.13210336198778108,33.27
307,0.7,0.2,1,1000,rf,0.0,0.0,0.0,0.09660344524999999,0.75328900789,419.47,0.19991928120000002,0.87016282997,544.74,0.020538498538498536,0.05137707795493421,25.91
308,0.7,0.2,2,10,rf,0.08677777777,0.609,5.97,0.027726190489999997,0.62894047618,5.33,0.19,1.0,10.0,0.02995238095238095,0.627297619047619,5.31
309,0.7,0.2,2,100,rf,0.05761377766,0.50994267372,48.15,0.03210538258,0.60331534331,52.25,0.16580000000000003,1.0,100.0,0.008988825974217792,0.24694180828844164,20.57
310,0.7,0.2,2,500,rf,0.04478731779,0.35215106598,166.43,0.036962750429999996,0.60591637007,260.2,0.17312000000000002,1.0,500.0,0.007108204971697738,0.056385100510172606,23.51
311,0.7,0.2,2,1000,rf,0.03934705655,0.30421688279000003,288.99,0.03441686085,0.58365504168,500.38,0.17322425099,1.0,999.92,0.005654965500305852,0.03213910645863577,26.83
312,0.7,0.2,5,10,rf,0.0,0.0,0.0,0.08083333334000001,0.13127380953,0.78,0.18484523808999997,0.32863492062,2.38,0.11833333333333335,0.10090079365079363,0.66
313,0.7,0.2,5,100,rf,0.0,0.0,0.0,0.08771825397,0.022461626329999998,1.45,0.16938255888,0.11458954954999999,7.93,0.17,0.013105889244729465,0.89
314,0.7,0.2,5,500,rf,0.0,0.0,0.0,0.09966459821,0.00854647884,2.87,0.21915064471,0.06279145789,22.02,0.13733333333333334,0.002731690959356921,0.94
315,0.7,0.2,5,1000,rf,0.0,0.0,0.0,0.08929188855999999,0.00794468509,5.18,0.24986310987,0.06981904816000001,48.11,0.09216666666666667,0.001027012583361049,0.73
316,0.7,0.2,6,10,rf,0.0,0.0,0.0,0.14649999999,0.19035714287000002,1.09,0.20842857139999998,0.34352380951999995,2.06,0.13333333333333333,0.1560952380952381,0.77
317,0.7,0.2,6,100,rf,0.0,0.0,0.0,0.1432268271,0.0565714334,2.87,0.22933091115,0.15384513331,7.95,0.12533333333333332,0.023109745726999847,1.02
318,0.7,0.2,6,500,rf,0.0,0.0,0.0,0.10694588046,0.03425543411,8.14,0.17640513659,0.10131538365000001,25.06,0.11642857142857142,0.004561139242972601,1.05
319,0.7,0.2,6,1000,rf,0.0,0.0,0.0,0.17040039578,0.03433851348,16.42,0.21760218943,0.09659977298,48.42,0.1195,0.002479716352000366,1.13
320,0.7,0.5,1,10,rf,0.18600000000000003,0.38,3.8,0.26224603177,0.94007142857,6.27,0.51894444444,1.0,9.91,0.0949563492063492,0.8524880952380953,4.85
321,0.7,0.5,1,100,rf,0.25989999999999996,0.51,51.0,0.25672287356,0.91945014668,61.42,0.49941419477,0.99963274932,98.97,0.027276884310401615,0.5160626451079842,26.26
322,0.7,0.5,1,500,rf,0.1611,0.32,160.0,0.2474672792,0.9568546809299999,318.42,0.49154122094999997,0.99971220234,492.26,0.025400723666906558,0.3390168543351127,85.42
323,0.7,0.5,1,1000,rf,0.18523,0.37,370.0,0.25149173697,0.92623757959,618.48,0.49427973358000005,0.9995726476,987.04,0.009602803927820985,0.12904254797772743,64.89
324,0.7,0.5,2,10,rf,0.158,1.0,10.0,0.07510317459,0.92457142857,8.46,0.158,1.0,10.0,0.06373412698412698,0.8703968253968255,7.68
325,0.7,0.5,2,100,rf,0.1668,1.0,100.0,0.08158648986,0.92840886738,84.3,0.1668,1.0,100.0,0.01291825156755678,0.3700043818834071,31.01
326,0.7,0.5,2,500,rf,0.16838,1.0,500.0,0.08317301926000001,0.9276363807200001,420.83,0.16838,1.0,500.0,0.006271606354499667,0.15109119757418013,62.96
327,0.7,0.5,2,1000,rf,0.17054,1.0,1000.0,0.08586836866,0.9303889983400001,844.43,0.17054,1.0,1000.0,0.006395369598307422,0.07599765420663697,63.43
328,0.7,0.5,5,10,rf,0.0,0.0,0.0,0.25093253967,0.39790079363,3.14,0.5018055555600001,0.98038095238,9.8,0.19266666666666665,0.2393531746031746,1.64
329,0.7,0.5,5,100,rf,0.0,0.0,0.0,0.25095729144,0.23885498231,17.85,0.48794703879,0.99160645615,98.3,0.22,0.024879901861747898,1.75
330,0.7,0.5,5,500,rf,0.0,0.0,0.0,0.27047023988,0.15774344338000001,56.4,0.49317542602000003,0.9836803291699999,485.29,0.19182872682872681,0.00621537499188341,2.21
331,0.7,0.5,5,1000,rf,0.0,0.0,0.0,0.24865544329,0.14110080125,99.48,0.49415480382,0.9861904173,976.6,0.16210497835497836,0.0028648532277082226,1.9
332,0.7,0.5,6,10,rf,0.0,0.0,0.0,0.30053968253,0.5447089947171717,3.43,0.53560317463,0.8878547378585858,7.49,0.3145,0.3030623697290364,1.73
333,0.7,0.5,6,100,rf,0.0,0.0,0.0,0.33108074737000004,0.37302430333,21.85,0.50922020805,0.82268693653,63.92,0.17011904761904761,0.047357348052766514,2.11
334,0.7,0.5,6,500,rf,0.0,0.0,0.0,0.32363498669999996,0.3378936245,96.0,0.50778252607,0.81523860321,309.27,0.12321184371184371,0.010185258488801615,2.33
335,0.7,0.5,6,1000,rf,0.0,0.0,0.0,0.32461646852000003,0.33505626239,189.52,0.50062226078,0.80402868803,601.63,0.10049639249639249,0.006414379431535205,2.75
336,0.8,0.1,1,10,rf,0.0,0.0,0.0,0.03103968256,0.6974404761799999,3.7,0.08366666670999999,0.8037500000100001,4.48,0.03866666666666667,0.6808333333333333,3.29
337,0.8,0.1,1,100,rf,0.0,0.0,0.0,0.047010209930000005,0.6534110974499999,34.32,0.09378610868000001,0.7640999721699999,42.3,0.022364881850175964,0.21526147408193883,10.81
338,0.8,0.1,1,500,rf,0.0,0.0,0.0,0.04537701825,0.6400245418,168.28,0.09526808244,0.75211668515,208.71,0.00339437408183538,0.04728700099209154,11.79
339,0.8,0.1,1,1000,rf,0.0,0.0,0.0,0.05139152438,0.7378500770799999,389.06,0.09874283005000001,0.8196294151700001,455.41,0.032958682058682055,0.018816785162948033,9.56
340,0.8,0.1,2,10,rf,0.0,0.0,0.0,0.00666666667,0.34406349210000003,2.88,0.10425396824,0.8978849206299999,8.24,0.023095238095238092,0.3960198412698413,3.37
341,0.8,0.1,2,100,rf,0.0,0.0,0.0,0.014726401430000001,0.26279994543,22.11,0.09795180944,0.92457224877,84.7,0.01071223221223221,0.1325619820587677,10.99
342,0.8,0.1,2,500,rf,0.0,0.0,0.0,0.01648278975,0.24065916955,100.62,0.09920677935000001,0.89802873971,407.5,0.009529375614717771,0.023606500763935986,9.81
343,0.8,0.1,2,1000,rf,0.0,0.0,0.0,0.015321963729999999,0.28349868672,236.87,0.09888524563000001,0.91173913426,828.71,0.00898941633079564,0.012109684787056652,10.07
344,0.8,0.1,5,10,rf,0.0,0.0,0.0,0.015,0.021170634919999997,0.14,0.0705,0.11436111111000001,0.73,0.04,0.05807539682539682,0.37
345,0.8,0.1,5,100,rf,0.0,0.0,0.0,0.02666666666,0.00579616951,0.35,0.04054004327999999,0.01545052673,0.92,0.10833333333333334,0.007472736733704939,0.53
346,0.8,0.1,5,500,rf,0.0,0.0,0.0,0.09191414142,0.0015979160200000001,0.58,0.09122664025,0.00686316009,2.31,0.0825,0.000925761301129893,0.34
347,0.8,0.1,5,1000,rf,0.0,0.0,0.0,0.06655357143,0.00084221862,0.58,0.09946403597,0.0031899879599999997,2.33,0.08833333333333333,0.00050184152129109,0.38
348,0.8,0.1,6,10,rf,0.0,0.0,0.0,0.0275,0.07802380953,0.35,0.07083333334,0.11352380952,0.57,0.01,0.06352380952380952,0.28
349,0.8,0.1,6,100,rf,0.0,0.0,0.0,0.06809523809,0.011994218999999999,0.58,0.08554860825,0.03290822031,1.59,0.04833333333333333,0.012087917061407348,0.53
350,0.8,0.1,6,500,rf,0.0,0.0,0.0,0.05636232069,0.00493554941,1.16,0.08857303154,0.01597286128,3.86,0.065,0.002268174313183044,0.52
351,0.8,0.1,6,1000,rf,0.0,0.0,0.0,0.0368560606,0.00204010152,0.92,0.06954426859,0.007439563190000001,3.59,0.06,0.000609342424085392,0.29
352,0.8,0.2,1,10,rf,0.0,0.0,0.0,0.107734127,0.8064722222199999,4.7,0.22223809526,0.9036269841300001,6.17,0.04569047619047619,0.7784047619047619,4.07
353,0.8,0.2,1,100,rf,0.0,0.0,0.0,0.10339555321,0.79793086903,44.93,0.20535655542,0.9109924725,57.73,0.015774810620367875,0.3632679777236754,18.17
354,0.8,0.2,1,500,rf,0.0,0.0,0.0,0.09254317315999999,0.77705844424,215.98,0.19948188047999998,0.9130110938599999,285.19,0.017084838074671316,0.08342380542426238,21.19
