,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
0,0.1,0.1,1,10,rf,0.22641403250683903,0.0,0.0,0.0,0.057988095238095234,0.7557142857142857,3.88,0.10110714285714285,0.8156428571428571,4.49,0.026785714285714284,0.7218095238095238,3.52
1,0.1,0.1,1,100,rf,0.3151032944058599,0.0,0.0,0.0,0.0565702204125996,0.7540867214567839,40.25,0.11260383863958469,0.8266460920217985,46.75,0.005929629213186694,0.46569419453696953,23.54
2,0.1,0.1,1,500,rf,0.3052571409650619,0.0,0.0,0.0,0.0500253234147999,0.7013871412573256,183.34,0.09927287804648721,0.7972996923542175,220.38,0.015912673533363186,0.09304565909453096,23.18
3,0.1,0.1,1,1000,rf,0.29428268701929833,0.0,0.0,0.0,0.04659351745070876,0.6811381231467525,358.18,0.09808912188998795,0.7900543090916626,437.37,0.007745354629808406,0.041457593030630326,20.83
4,0.1,0.1,2,10,rf,0.5387228628805587,0.001,0.02,0.19,0.010777777777777777,0.9509047619047619,8.25,0.10113888888888889,1.0,9.57,0.009777777777777778,0.9409603174603174,8.15
5,0.1,0.1,2,100,rf,0.6287009048296975,0.000232558139534883,0.018792766373411533,1.72,0.015192867676300547,0.9196260176381937,81.04,0.10066334738044276,0.9998780487804878,96.43,0.002299315388759146,0.5952791329847057,51.85
6,0.1,0.1,2,500,rf,0.6577565082652747,0.00012406947890818802,0.009255813953488371,4.03,0.013665852535228758,0.9267977127366742,405.55,0.10090186024511988,0.9999317612598427,480.12,0.001832487713805031,0.11723030610273222,50.7
7,0.1,0.1,2,1000,rf,0.6521064001966157,0.0,0.0,0.0,0.014277534353833797,0.9297080948186405,814.99,0.10067076604860507,0.9998615776409707,960.68,0.001107771945532853,0.05961213214802008,51.62
8,0.1,0.1,5,10,rf,0.05124309693871863,0.0,0.0,0.0,0.0225,0.08199999999999999,0.49,0.059833333333333336,0.16747619047619047,1.03,0.04,0.08214285714285713,0.5
9,0.1,0.1,5,100,rf,0.1032899184961507,0.0,0.0,0.0,0.056749999999999995,0.008995527943360048,0.61,0.10477081741787624,0.03847786249206446,2.43,0.0725,0.007849507065618601,0.52
10,0.1,0.1,5,500,rf,0.10804965374517755,0.0,0.0,0.0,0.04277428127428127,0.007742812152361114,2.09,0.07719717075700054,0.021823701011072318,6.44,0.07666666666666666,0.002713007486785982,0.79
11,0.1,0.1,5,1000,rf,0.10269213781126667,0.0,0.0,0.0,0.062386363636363636,0.0012505343745019659,0.77,0.09694836057078922,0.01485350944841024,9.09,0.1,0.000923278479771186,0.59
12,0.1,0.1,6,10,rf,0.3708171547073075,0.0,0.0,0.0,0.03916666666666666,0.29646428571428574,1.15,0.067,0.40108333333333335,1.64,0.026666666666666665,0.2522738095238095,0.9
